
Active Connections

  Proto  Local Address          Foreign Address        State           PID
  TCP    0.0.0.0:135            0.0.0.0:0              LISTENING       692
  TCP    0.0.0.0:445            0.0.0.0:0              LISTENING       4
  TCP    0.0.0.0:1080           0.0.0.0:0              LISTENING       1328
  TCP    0.0.0.0:1081           0.0.0.0:0              LISTENING       1328
  TCP    0.0.0.0:3000           0.0.0.0:0              LISTENING       6916
  TCP    0.0.0.0:3389           0.0.0.0:0              LISTENING       2452
  TCP    0.0.0.0:4369           0.0.0.0:0              LISTENING       6828
  TCP    0.0.0.0:5672           0.0.0.0:0              LISTENING       3156
  TCP    0.0.0.0:8009           0.0.0.0:0              LISTENING       7012
  TCP    0.0.0.0:8080           0.0.0.0:0              LISTENING       7012
  TCP    0.0.0.0:9000           0.0.0.0:0              LISTENING       4336
  TCP    0.0.0.0:9001           0.0.0.0:0              LISTENING       4336
  TCP    0.0.0.0:9002           0.0.0.0:0              LISTENING       4336
  TCP    0.0.0.0:9010           0.0.0.0:0              LISTENING       4804
  TCP    0.0.0.0:9011           0.0.0.0:0              LISTENING       4804
  TCP    0.0.0.0:9012           0.0.0.0:0              LISTENING       4804
  TCP    0.0.0.0:9020           0.0.0.0:0              LISTENING       336
  TCP    0.0.0.0:9021           0.0.0.0:0              LISTENING       336
  TCP    0.0.0.0:9030           0.0.0.0:0              LISTENING       5024
  TCP    0.0.0.0:9031           0.0.0.0:0              LISTENING       5024
  TCP    0.0.0.0:9050           0.0.0.0:0              LISTENING       3904
  TCP    0.0.0.0:9051           0.0.0.0:0              LISTENING       3904
  TCP    0.0.0.0:9053           0.0.0.0:0              LISTENING       3904
  TCP    0.0.0.0:9080           0.0.0.0:0              LISTENING       2528
  TCP    0.0.0.0:9081           0.0.0.0:0              LISTENING       2528
  TCP    0.0.0.0:20000          0.0.0.0:0              LISTENING       608
  TCP    0.0.0.0:20002          0.0.0.0:0              LISTENING       608
  TCP    0.0.0.0:22201          0.0.0.0:0              LISTENING       1804
  TCP    0.0.0.0:25672          0.0.0.0:0              LISTENING       3156
  TCP    0.0.0.0:47001          0.0.0.0:0              LISTENING       4
  TCP    0.0.0.0:49152          0.0.0.0:0              LISTENING       396
  TCP    0.0.0.0:49153          0.0.0.0:0              LISTENING       784
  TCP    0.0.0.0:49188          0.0.0.0:0              LISTENING       512
  TCP    0.0.0.0:49191          0.0.0.0:0              LISTENING       504
  TCP    0.0.0.0:49195          0.0.0.0:0              LISTENING       2504
  TCP    0.0.0.0:50287          0.0.0.0:0              LISTENING       4324
  TCP    0.0.0.0:65287          0.0.0.0:0              LISTENING       2276
  TCP    16.60.168.105:139      0.0.0.0:0              LISTENING       4
  TCP    16.60.168.105:1080     15.1.192.51:32777      CLOSE_WAIT      1328
  TCP    16.60.168.105:1080     15.1.192.51:33426      CLOSE_WAIT      1328
  TCP    16.60.168.105:1080     15.1.192.51:33529      CLOSE_WAIT      1328
  TCP    16.60.168.105:1080     15.1.192.51:35771      CLOSE_WAIT      1328
  TCP    16.60.168.105:1080     15.1.192.51:36038      CLOSE_WAIT      1328
  TCP    16.60.168.105:1080     15.1.192.51:36464      CLOSE_WAIT      1328
  TCP    16.60.168.105:1080     15.1.192.51:36602      CLOSE_WAIT      1328
  TCP    16.60.168.105:1080     15.1.192.51:37454      CLOSE_WAIT      1328
  TCP    16.60.168.105:1080     15.1.192.51:38832      CLOSE_WAIT      1328
  TCP    16.60.168.105:1080     15.1.192.51:38896      CLOSE_WAIT      1328
  TCP    16.60.168.105:1080     15.1.192.51:38908      CLOSE_WAIT      1328
  TCP    16.60.168.105:1080     15.1.192.51:39348      CLOSE_WAIT      1328
  TCP    16.60.168.105:1080     15.1.192.51:39371      CLOSE_WAIT      1328
  TCP    16.60.168.105:1080     15.1.192.51:40012      CLOSE_WAIT      1328
  TCP    16.60.168.105:1080     15.1.192.51:40218      CLOSE_WAIT      1328
  TCP    16.60.168.105:1080     15.1.192.51:40594      CLOSE_WAIT      1328
  TCP    16.60.168.105:1080     15.1.192.51:41090      CLOSE_WAIT      1328
  TCP    16.60.168.105:1080     15.1.192.51:41498      CLOSE_WAIT      1328
  TCP    16.60.168.105:1080     15.1.192.51:41676      CLOSE_WAIT      1328
  TCP    16.60.168.105:1080     15.1.192.51:42059      CLOSE_WAIT      1328
  TCP    16.60.168.105:1080     15.1.192.51:42303      CLOSE_WAIT      1328
  TCP    16.60.168.105:1080     15.1.192.51:42464      CLOSE_WAIT      1328
  TCP    16.60.168.105:1080     15.1.192.51:42831      CLOSE_WAIT      1328
  TCP    16.60.168.105:1080     15.1.192.51:43548      CLOSE_WAIT      1328
  TCP    16.60.168.105:1080     15.1.192.51:43589      CLOSE_WAIT      1328
  TCP    16.60.168.105:1080     15.1.192.51:44172      CLOSE_WAIT      1328
  TCP    16.60.168.105:1080     15.1.192.51:44174      CLOSE_WAIT      1328
  TCP    16.60.168.105:1080     15.1.192.51:44573      CLOSE_WAIT      1328
  TCP    16.60.168.105:1080     15.1.192.51:44669      CLOSE_WAIT      1328
  TCP    16.60.168.105:1080     15.1.192.51:44795      CLOSE_WAIT      1328
  TCP    16.60.168.105:1080     15.1.192.51:44855      CLOSE_WAIT      1328
  TCP    16.60.168.105:1080     15.1.192.51:44868      CLOSE_WAIT      1328
  TCP    16.60.168.105:1080     15.1.192.51:44911      CLOSE_WAIT      1328
  TCP    16.60.168.105:1080     15.1.192.51:45048      CLOSE_WAIT      1328
  TCP    16.60.168.105:1080     15.1.192.51:45155      CLOSE_WAIT      1328
  TCP    16.60.168.105:1080     15.1.192.51:45243      CLOSE_WAIT      1328
  TCP    16.60.168.105:1080     15.1.192.51:45933      CLOSE_WAIT      1328
  TCP    16.60.168.105:1080     15.1.192.51:46126      CLOSE_WAIT      1328
  TCP    16.60.168.105:1080     15.1.192.51:46387      CLOSE_WAIT      1328
  TCP    16.60.168.105:1080     15.1.192.51:46664      CLOSE_WAIT      1328
  TCP    16.60.168.105:1080     15.1.192.51:46806      CLOSE_WAIT      1328
  TCP    16.60.168.105:1080     15.1.192.51:46929      CLOSE_WAIT      1328
  TCP    16.60.168.105:1080     15.1.192.51:47139      CLOSE_WAIT      1328
  TCP    16.60.168.105:1080     15.1.192.51:47160      CLOSE_WAIT      1328
  TCP    16.60.168.105:1080     15.1.192.51:47321      CLOSE_WAIT      1328
  TCP    16.60.168.105:1080     15.1.192.51:47355      CLOSE_WAIT      1328
  TCP    16.60.168.105:1080     15.1.192.51:47366      CLOSE_WAIT      1328
  TCP    16.60.168.105:1080     15.1.192.51:47379      CLOSE_WAIT      1328
  TCP    16.60.168.105:1080     15.1.192.51:47562      CLOSE_WAIT      1328
  TCP    16.60.168.105:1080     15.1.192.51:47574      CLOSE_WAIT      1328
  TCP    16.60.168.105:1080     15.1.192.51:47635      CLOSE_WAIT      1328
  TCP    16.60.168.105:1080     15.1.192.51:47641      CLOSE_WAIT      1328
  TCP    16.60.168.105:1080     15.1.192.51:47796      CLOSE_WAIT      1328
  TCP    16.60.168.105:1080     15.1.192.51:47867      CLOSE_WAIT      1328
  TCP    16.60.168.105:1080     15.1.192.51:47979      CLOSE_WAIT      1328
  TCP    16.60.168.105:1080     15.1.192.51:48007      CLOSE_WAIT      1328
  TCP    16.60.168.105:1080     15.1.192.51:48206      CLOSE_WAIT      1328
  TCP    16.60.168.105:1080     15.1.192.51:48280      CLOSE_WAIT      1328
  TCP    16.60.168.105:1080     15.1.192.51:48396      CLOSE_WAIT      1328
  TCP    16.60.168.105:1080     15.1.192.51:48410      CLOSE_WAIT      1328
  TCP    16.60.168.105:1080     15.1.192.51:48422      CLOSE_WAIT      1328
  TCP    16.60.168.105:1080     15.1.192.51:48551      CLOSE_WAIT      1328
  TCP    16.60.168.105:1080     15.1.192.51:48554      CLOSE_WAIT      1328
  TCP    16.60.168.105:1080     15.1.192.51:48695      CLOSE_WAIT      1328
  TCP    16.60.168.105:1080     15.1.192.51:48708      CLOSE_WAIT      1328
  TCP    16.60.168.105:1080     15.1.192.51:48956      CLOSE_WAIT      1328
  TCP    16.60.168.105:1080     15.1.192.51:49110      CLOSE_WAIT      1328
  TCP    16.60.168.105:1080     15.1.192.51:49135      CLOSE_WAIT      1328
  TCP    16.60.168.105:1080     15.1.192.51:49238      CLOSE_WAIT      1328
  TCP    16.60.168.105:1080     15.1.192.51:49249      CLOSE_WAIT      1328
  TCP    16.60.168.105:1080     15.1.192.51:49338      CLOSE_WAIT      1328
  TCP    16.60.168.105:1080     15.1.192.51:49382      CLOSE_WAIT      1328
