Run Time,Name,Status,Summary,m_omit,m_omit
"10:23 8/10/2014","Cpu monitor on myd-vm06792.hpswlabs.adapps.hp.com","Status: Good; Monitor Availability: Data Collected","0% avg, cpu1 0%, cpu2 1%, cpu3 0%, cpu4 0%","",
"10:24 8/10/2014","Cpu monitor on myd-vm06792.hpswlabs.adapps.hp.com","Status: Good; Monitor Availability: Data Collected","0% avg, cpu1 0%, cpu2 0%, cpu3 0%, cpu4 0%","",
"10:24 8/10/2014","Cpu monitor on myd-vm06792.hpswlabs.adapps.hp.com","Status: Good; Monitor Availability: Data Collected","0% avg, cpu1 0%, cpu2 0%, cpu3 0%, cpu4 0%","",
"10:25 8/10/2014","Cpu monitor on myd-vm06792.hpswlabs.adapps.hp.com","Status: Good; Monitor Availability: Data Collected","2% avg, cpu1 5%, cpu2 3%, cpu3 0%, cpu4 2%","",
"10:25 8/10/2014","Cpu monitor on myd-vm06792.hpswlabs.adapps.hp.com","Status: Good; Monitor Availability: Data Collected","0% avg, cpu1 0%, cpu2 0%, cpu3 0%, cpu4 0%","",
"10:26 8/10/2014","Cpu monitor on myd-vm06792.hpswlabs.adapps.hp.com","Status: Good; Monitor Availability: Data Collected","0% avg, cpu1 1%, cpu2 2%, cpu3 0%, cpu4 0%","",
"10:26 8/10/2014","Cpu monitor on myd-vm06792.hpswlabs.adapps.hp.com","Status: Good; Monitor Availability: Data Collected","0% avg, cpu1 0%, cpu2 1%, cpu3 0%, cpu4 0%","",
"10:27 8/10/2014","Cpu monitor on myd-vm06792.hpswlabs.adapps.hp.com","Status: Good; Monitor Availability: Data Collected","0% avg, cpu1 1%, cpu2 1%, cpu3 1%, cpu4 0%","",
"10:27 8/10/2014","Cpu monitor on myd-vm06792.hpswlabs.adapps.hp.com","Status: Good; Monitor Availability: Data Collected","0% avg, cpu1 1%, cpu2 1%, cpu3 1%, cpu4 0%","",
"10:28 8/10/2014","Cpu monitor on myd-vm06792.hpswlabs.adapps.hp.com","Status: Good; Monitor Availability: Data Collected","3% avg, cpu1 3%, cpu2 3%, cpu3 7%, cpu4 2%","",
"10:28 8/10/2014","Cpu monitor on myd-vm06792.hpswlabs.adapps.hp.com","Status: Good; Monitor Availability: Data Collected","24% avg, cpu1 16%, cpu2 32%, cpu3 17%, cpu4 33%","",
"10:29 8/10/2014","Cpu monitor on myd-vm06792.hpswlabs.adapps.hp.com","Status: Good; Monitor Availability: Data Collected","0% avg, cpu1 0%, cpu2 1%, cpu3 1%, cpu4 0%","",
"10:29 8/10/2014","Cpu monitor on myd-vm06792.hpswlabs.adapps.hp.com","Status: Good; Monitor Availability: Data Collected","0% avg, cpu1 0%, cpu2 1%, cpu3 1%, cpu4 0%","",
"10:30 8/10/2014","Cpu monitor on myd-vm06792.hpswlabs.adapps.hp.com","Status: Good; Monitor Availability: Data Collected","0% avg, cpu1 0%, cpu2 1%, cpu3 0%, cpu4 0%","",
"10:30 8/10/2014","Cpu monitor on myd-vm06792.hpswlabs.adapps.hp.com","Status: Good; Monitor Availability: Data Collected","0% avg, cpu1 0%, cpu2 1%, cpu3 0%, cpu4 0%","",
"10:31 8/10/2014","Cpu monitor on myd-vm06792.hpswlabs.adapps.hp.com","Status: Good; Monitor Availability: Data Collected","0% avg, cpu1 0%, cpu2 1%, cpu3 0%, cpu4 0%","",
"10:31 8/10/2014","Cpu monitor on myd-vm06792.hpswlabs.adapps.hp.com","Status: Good; Monitor Availability: Data Collected","0% avg, cpu1 0%, cpu2 0%, cpu3 0%, cpu4 0%","",
"10:32 8/10/2014","Cpu monitor on myd-vm06792.hpswlabs.adapps.hp.com","Status: Good; Monitor Availability: Data Collected","0% avg, cpu1 0%, cpu2 0%, cpu3 0%, cpu4 0%","",
"10:32 8/10/2014","Cpu monitor on myd-vm06792.hpswlabs.adapps.hp.com","Status: Good; Monitor Availability: Data Collected","0% avg, cpu1 0%, cpu2 0%, cpu3 0%, cpu4 0%","",
"10:33 8/10/2014","Cpu monitor on myd-vm06792.hpswlabs.adapps.hp.com","Status: Good; Monitor Availability: Data Collected","0% avg, cpu1 0%, cpu2 0%, cpu3 0%, cpu4 0%","",
"10:33 8/10/2014","Cpu monitor on myd-vm06792.hpswlabs.adapps.hp.com","Status: Good; Monitor Availability: Data Collected","0% avg, cpu1 0%, cpu2 0%, cpu3 1%, cpu4 0%","",
"10:34 8/10/2014","Cpu monitor on myd-vm06792.hpswlabs.adapps.hp.com","Status: Good; Monitor Availability: Data Collected","0% avg, cpu1 0%, cpu2 0%, cpu3 0%, cpu4 0%","",
"10:34 8/10/2014","Cpu monitor on myd-vm06792.hpswlabs.adapps.hp.com","Status: Good; Monitor Availability: Data Collected","0% avg, cpu1 0%, cpu2 1%, cpu3 0%, cpu4 0%","",
"10:35 8/10/2014","Cpu monitor on myd-vm06792.hpswlabs.adapps.hp.com","Status: Good; Monitor Availability: Data Collected","0% avg, cpu1 0%, cpu2 1%, cpu3 0%, cpu4 0%","",
