Run Time,Name,Status,Summary,m_omit,m_omit
"10:23 8/10/2014","Memory on myd-vm06792.hpswlabs.adapps.hp.com","Status: Good; Monitor Availability: Data Collected","50% virtual memory used, 8152MB virtual memory free, 0 pages/sec","",
"10:24 8/10/2014","Memory on myd-vm06792.hpswlabs.adapps.hp.com","Status: Good; Monitor Availability: Data Collected","50% virtual memory used, 8152MB virtual memory free, 0 pages/sec","",
"10:24 8/10/2014","Memory on myd-vm06792.hpswlabs.adapps.hp.com","Status: Good; Monitor Availability: Data Collected","50% virtual memory used, 8153MB virtual memory free, 0 pages/sec","",
"10:25 8/10/2014","Memory on myd-vm06792.hpswlabs.adapps.hp.com","Status: Good; Monitor Availability: Data Collected","50% virtual memory used, 8151MB virtual memory free, 8.53176 pages/sec","",
"10:25 8/10/2014","Memory on myd-vm06792.hpswlabs.adapps.hp.com","Status: Good; Monitor Availability: Data Collected","50% virtual memory used, 8151MB virtual memory free, 8.53475 pages/sec","",
"10:26 8/10/2014","Memory on myd-vm06792.hpswlabs.adapps.hp.com","Status: Good; Monitor Availability: Data Collected","50% virtual memory used, 8152MB virtual memory free, 0 pages/sec","",
"10:26 8/10/2014","Memory on myd-vm06792.hpswlabs.adapps.hp.com","Status: Good; Monitor Availability: Data Collected","50% virtual memory used, 8151MB virtual memory free, 0 pages/sec","",
"10:27 8/10/2014","Memory on myd-vm06792.hpswlabs.adapps.hp.com","Status: Good; Monitor Availability: Data Collected","50% virtual memory used, 8150MB virtual memory free, 0.06664 pages/sec","",
"10:27 8/10/2014","Memory on myd-vm06792.hpswlabs.adapps.hp.com","Status: Good; Monitor Availability: Data Collected","50% virtual memory used, 8170MB virtual memory free, 0.7666 pages/sec","",
"10:28 8/10/2014","Memory on myd-vm06792.hpswlabs.adapps.hp.com","Status: Good; Monitor Availability: Data Collected","50% virtual memory used, 8156MB virtual memory free, 0 pages/sec","",
"10:28 8/10/2014","Memory on myd-vm06792.hpswlabs.adapps.hp.com","Status: Good; Monitor Availability: Data Collected","50% virtual memory used, 8137MB virtual memory free, 88.79086 pages/sec","",
"10:29 8/10/2014","Memory on myd-vm06792.hpswlabs.adapps.hp.com","Status: Good; Monitor Availability: Data Collected","50% virtual memory used, 8132MB virtual memory free, 0.93331 pages/sec","",
"10:29 8/10/2014","Memory on myd-vm06792.hpswlabs.adapps.hp.com","Status: Good; Monitor Availability: Data Collected","50% virtual memory used, 8109MB virtual memory free, 4.96635 pages/sec","",
"10:30 8/10/2014","Memory on myd-vm06792.hpswlabs.adapps.hp.com","Status: Good; Monitor Availability: Data Collected","50% virtual memory used, 8119MB virtual memory free, 91.86243 pages/sec","",
